# affix table
slot,stat,label,pct,tier,weight,min,max
accessory,critChance,暴擊率,1,3,105,0.0225,0.02625
accessory,critChance,暴擊率,1,4,66,0.03,0.03375
accessory,critChance,暴擊率,1,5,41,0.0375,0.04125
accessory,critChance,暴擊率,1,6,26,0.045,0.04875
accessory,critChance,暴擊率,1,7,16,0.0525,0.05625
accessory,critChance,暴擊率,1,8,10,0.06,0.06375
accessory,critMult,暴擊傷害,1,1,268,0.0375,0.05625
accessory,critMult,暴擊傷害,1,2,168,0.075,0.09375
accessory,critMult,暴擊傷害,1,3,105,0.1125,0.13125
accessory,critMult,暴擊傷害,1,4,66,0.15,0.16875
accessory,critMult,暴擊傷害,1,5,41,0.1875,0.20625
accessory,critMult,暴擊傷害,1,6,26,0.225,0.24375
accessory,critMult,暴擊傷害,1,7,16,0.2625,0.28125
accessory,critMult,暴擊傷害,1,8,10,0.3,0.31875
accessory,hp,生命,,1,268,6,11.25
accessory,hp,生命,,2,168,15,20.25
accessory,hp,生命,,3,105,24,29.25
accessory,hp,生命,,4,66,33,38.25
accessory,hp,生命,,5,41,42,47.25
accessory,hp,生命,,6,26,51,56.25
accessory,hp,生命,,7,16,60,65.25
accessory,hp,生命,,8,10,69,74.25
accessory,haste,攻速,1,1,268,0.01125,0.01875
accessory,haste,攻速,1,2,168,0.03,0.0375
accessory,haste,攻速,1,3,105,0.04875,0.05625
accessory,haste,攻速,1,4,66,0.0675,0.075
accessory,haste,攻速,1,5,41,0.08625,0.09375
accessory,haste,攻速,1,6,26,0.105,0.1125
accessory,haste,攻速,1,7,16,0.12375,0.13125
accessory,haste,攻速,1,8,10,0.1425,0.15
